0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/css/animate.css HTTP/1.1" 200 81426
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/css/owl.css HTTP/1.1" 200 4515
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/css/normalize.css HTTP/1.1" 200 8306
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/css/cardio.css HTTP/1.1" 200 19271
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/fonts/eleganticons/et-icons.css HTTP/1.1" 200 26366
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/fonts/font-awesome-4.1.0/css/font-awesome.min.css HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/js/jquery-1.11.1.min.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/js/jquery.onepagenav.js HTTP/1.1" 200 5362
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/js/typewriter.js HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/js/wow.min.js HTTP/1.1" 200 8183
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/js/owl.carousel.min.js HTTP/1.1" 200 23906
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/js/main.js HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/img/team/trophie-2.jpg HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/img/loader.gif HTTP/1.1" 200 20788
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:13 -0300] "GET /ChampionsLinux/img/fundo.png HTTP/1.1" 200 2272219
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:14 -0300] "GET /ChampionsLinux/img/footer.jpg HTTP/1.1" 200 86294
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:14 -0300] "GET /ChampionsLinux/img/team/2016.jpg HTTP/1.1" 200 75652
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:14 -0300] "GET /ChampionsLinux/img/table-jogos.jpg HTTP/1.1" 200 15141
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:14 -0300] "GET /ChampionsLinux/img/pinguim-2.jpeg HTTP/1.1" 200 5338
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:14 -0300] "GET /ChampionsLinux/img/goal.jpeg HTTP/1.1" 200 7511
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:14 -0300] "GET /ChampionsLinux/fonts/eleganticons/ElegantIcons.woff HTTP/1.1" 200 63664
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:14 -0300] "GET /ChampionsLinux/img/team/2015.jpg HTTP/1.1" 200 111511
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:14 -0300] "GET /ChampionsLinux/img/team/2014.jpg HTTP/1.1" 200 71375
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:14 -0300] "GET /ChampionsLinux/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:23 -0300] "GET /ChampionsLinux/img/popup.jpg HTTP/1.1" 200 71172
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:29 -0300] "POST /ChampionsLinux/rest/login/logar HTTP/1.1" 303 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:29 -0300] "GET /ChampionsLinux/Administracao/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:29 -0300] "GET /ChampionsLinux/rest/equipes/listar HTTP/1.1" 200 1346
